Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Patric Kjellberg,AHC,F,10,7,5,5,4,3,5,3,1,7,5,5,3,4,4
Jeff Shantz,AHC,F,11,6,5,5,4,3,4,4,0,7,4,5,3,4,4
Mike Ricci,AHC,F,18,6,4,4,4,4,4,4,1,9,5,5,4,4,4
Jeff O'Neill,AHC,F,92,6,5,5,4,3,5,4,0,7,4,5,3,5,5
Christian Matte,AHC,F,17,3,4,4,3,3,5,3,1,8,3,3,3,4,4
Bobby Holik,AHC,F,16,11,4,5,4,4,5,5,0,7,4,5,4,4,5
Dimitri Kalinin,AHC,D,45,7,4,4,3,4,4,3,0,7,3,3,3,4,3
Andrew Ference,AHC,D,7,5,5,5,4,3,4,4,1,5,3,3,3,4,4
Mattias Ohlund,AHC,D,2,10,5,5,3,4,5,5,1,7,4,5,3,5,5
Jaroslav Modry,AHC,D,44,6,4,4,4,3,4,4,0,9,4,4,3,4,4
Fredrik Modin,AUT,F,33,10,5,5,4,3,5,3,1,7,5,4,3,4,4
Tony Amonte,AUT,F,10,6,5,5,5,3,5,1,1,9,5,5,3,5,4
Anson Carter,AUT,F,33,6,5,5,4,4,5,4,0,7,5,5,3,5,4
Kris Draper,AUT,F,33,6,5,5,3,4,4,4,1,7,3,4,3,4,4
Olli Jokinen,AUT,F,62,8,5,5,4,3,4,4,1,7,3,5,4,4,4
Dean McAmmond,AUT,F,19,7,5,5,4,3,3,4,1,7,4,5,4,4,4
Sergei Gonchar,AUT,D,55,8,5,5,5,3,5,4,1,9,5,5,3,5,4
Chris Chelios,AUT,D,24,6,5,4,4,5,5,5,0,9,3,5,3,5,5
Richard Matvichuk,AUT,D,24,9,4,4,3,4,3,4,0,9,3,5,4,4,5
Tom Poti,AUT,D,5,9,5,4,4,4,4,4,1,7,4,5,4,5,4
Mark Parrish,BAY,F,4,6,5,5,4,3,3,3,0,7,4,4,3,4,4
Greg Johnson,BAY,F,22,6,5,5,4,4,5,3,1,7,3,5,3,4,3
Markus Naslund,BAY,F,19,6,5,5,5,3,5,4,1,9,4,5,3,5,5
Andrew Brunette,BAY,F,15,8,4,4,5,3,5,3,1,7,5,4,3,5,4
Viktor Kozlov,BAY,F,25,11,4,4,5,3,4,4,0,7,3,5,3,5,4
Michael Peca,BAY,F,27,5,4,3,4,4,5,5,0,7,4,5,4,3,5
Dan McGillis,BAY,D,3,11,4,4,4,4,5,5,1,7,4,4,4,4,5
Aaron Ward,BAY,D,44,10,4,4,3,3,4,5,0,7,3,3,3,4,5
Jason Doig,BAY,D,26,9,5,5,3,4,4,4,0,7,3,3,4,4,4
Marcus Ragnarsson,BAY,D,10,9,5,4,3,3,3,4,1,8,4,5,3,4,4
Michael Nylander,CDA,F,92,6,4,5,4,3,5,3,1,7,5,5,3,5,3
Brian Holzinger,CDA,F,19,6,5,5,4,3,5,4,0,7,4,4,3,5,4
Darcy Tucker,CDA,F,16,5,4,4,4,3,4,5,1,9,5,5,4,4,5
Jere Lehtinen,CDA,F,26,7,4,4,4,4,4,4,0,10,4,5,3,5,4
Joe Thornton,CDA,F,6,10,5,5,5,3,5,4,1,12,5,5,3,5,5
Miroslav Satan,CDA,F,81,6,5,5,5,3,5,3,1,10,5,5,3,5,4
Nicklas Lidstrom,CDA,D,5,6,5,5,5,4,5,5,1,7,5,6,3,5,4
Darryl Sydor,CDA,D,5,6,4,3,4,4,5,4,1,9,4,5,3,5,4
Curtis Leschyshyn,CDA,D,8,8,4,4,3,3,3,4,1,7,3,4,3,4,5
Don Sweeney,CDA,D,32,5,4,4,4,3,4,5,1,10,3,5,3,4,5
Patrik Elias,DIN,F,26,6,5,5,5,3,5,4,1,7,5,5,3,5,4
Cory Stillman,DIN,F,16,6,5,5,4,3,5,4,1,7,5,5,3,4,4
Jay Pandolfo,DIN,F,46,6,4,4,3,4,4,4,1,8,3,4,3,4,4
Mats Sundin,DIN,F,13,11,5,5,5,3,5,4,0,9,5,5,3,5,4
