Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Petr Klima,ANA,F,85,7,5,5,4,1,4,1,8,9,5,4,5,3,3
Valeri Kamensky,ANA,F,31,8,4,4,4,2,5,2,6,9,4,4,1,5,2
Benoit Hogue,ANA,F,33,7,4,5,4,3,3,1,9,6,4,4,1,4,3
Tomas Sandstrom,ANA,F,17,9,4,4,5,3,5,2,7,6,3,4,4,3,4
John MacLean,ANA,F,15,9,3,2,5,4,4,3,8,7,3,4,5,2,4
Rick Tocchet,ANA,F,22,9,2,3,4,3,4,4,6,7,4,3,3,3,4
Phil Housley,ANA,D,6,6,6,5,5,3,3,2,7,12,2,4,0,6,2
Dave Manson,ANA,D,3,9,4,4,3,2,5,4,9,8,1,5,4,3,4
Fredrik Olausson,ANA,D,15,9,4,3,4,3,4,1,8,9,2,3,1,4,1
Boris Mironov,ANA,D,20,6,4,3,2,2,3,3,8,7,1,2,3,2,3
Theoren Fleury,AUT,F,14,3,5,5,4,4,4,4,12,10,4,4,3,3,3
Brendan Shanahan,AUT,F,19,10,3,3,5,4,5,3,10,10,5,4,2,4,4
Geoff Sanderson,AUT,F,8,6,4,5,4,3,4,2,11,6,4,4,3,3,1
Rob Neidrmayer,AUT,F,44,9,4,5,2,2,3,3,7,7,3,3,4,2,2
Derek Plante,AUT,F,26,4,4,4,4,3,3,2,11,9,3,3,2,4,1
Glenn Anderson,AUT,F,36,7,4,4,4,3,3,2,11,6,3,4,1,4,3
Brian Leetch,AUT,D,2,6,6,3,5,4,4,2,13,12,2,5,2,5,2
Vladimir Konstantov,AUT,D,16,6,4,4,2,4,3,4,10,7,1,4,2,3,5
Tommy Sjodin,AUT,D,2,6,4,3,3,2,4,2,8,9,2,3,3,3,1
Lyle Odelein,AUT,D,24,9,3,2,2,4,3,4,11,5,2,3,4,2,5
Steve Yzerman,BGM,F,19,6,6,5,6,4,4,1,8,12,4,6,1,5,1
Dino Ciccarelli,BGM,F,22,5,5,3,5,2,5,2,6,7,5,4,3,4,4
Dimitri Khristich,BGM,F,8,7,3,3,4,3,3,3,8,9,6,4,2,4,2
Bill Guerin,BGM,F,12,9,4,3,3,3,5,4,10,7,4,3,5,2,4
Dale Hunter,BGM,F,32,8,2,2,4,4,3,4,9,7,4,4,1,4,6
Mark Janssens,BGM,F,24,11,3,2,2,4,3,4,13,7,3,4,1,2,4
Sergei Zubov,BGM,D,21,7,4,4,5,4,4,3,13,9,2,3,2,4,2
Yves Racine,BGM,D,29,6,4,4,3,3,4,3,7,6,2,4,2,3,2
Ken Daneyko,BGM,D,3,10,3,2,1,5,1,5,13,4,0,4,4,1,4
Kevin Haller,BGM,D,14,6,3,2,2,3,2,2,7,7,2,4,5,2,3
Mats Sundin,BRT,F,13,7,4,4,5,4,4,1,12,9,5,4,1,4,3
