Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Fredrik Modin,AUT,F,19,10,4,5,5,4,3,1,1,7,4,3,4,2,1
Brendan Shanahan,AUT,F,14,10,5,4,5,5,4,3,0,12,5,4,4,4,4
Geoff Sanderson,AUT,F,80,6,5,6,4,3,4,2,1,10,4,4,4,3,2
Kris Draper,AUT,F,33,7,5,4,2,4,3,3,1,7,3,4,2,3,2
Olli Jokinen,AUT,F,12,9,5,4,4,4,3,3,1,5,3,3,3,2,3
Dean McAmmond,AUT,F,37,7,5,5,3,5,4,1,1,7,1,4,2,2,1
Brian Leetch,AUT,D,2,6,5,5,4,6,4,2,1,12,4,4,2,5,2
Chris Chelios,AUT,D,7,7,5,5,5,6,4,5,0,12,2,5,2,4,4
Richard Matvichuk,AUT,D,24,9,3,4,2,4,3,3,0,9,2,3,3,3,1
Tom Poti,AUT,D,5,7,4,5,3,3,4,2,1,9,2,2,3,3,2
Mark Messier,BRT,F,11,10,5,5,5,4,4,3,1,11,5,6,4,4,6
Mats Sundin,BRT,F,13,9,5,5,5,4,5,1,0,13,5,5,1,5,2
Dainius Zubrus,BRT,F,28,11,4,4,3,3,4,3,1,10,3,4,1,3,2
Patrick Marleau,BRT,F,14,10,5,4,4,4,4,3,1,9,2,3,3,1,3
Michael Peca,BRT,F,19,5,4,4,4,4,3,4,0,5,3,4,4,3,2
Ryan Smyth,BRT,F,94,7,3,5,4,2,5,2,1,9,2,3,2,4,3
Scott Stevens,BRT,D,4,8,4,5,2,5,5,4,1,9,3,3,4,3,5
Scott Niedermayer,BRT,D,27,9,4,6,3,5,4,3,1,9,3,3,1,3,2
Aaron Ward,BRT,D,33,9,5,4,3,6,4,3,0,7,2,4,2,3,3
Jason Woolley,BRT,D,5,6,3,3,4,3,5,2,1,7,2,3,4,4,4
Michael Nylander,CDA,F,9,5,4,5,3,3,4,1,1,9,2,2,1,4,2
Brian Holzinger,CDA,F,21,6,4,5,3,3,4,2,0,7,3,4,3,2,4
Darcy Tucker,CDA,F,16,4,5,4,4,4,3,1,1,9,2,3,1,5,1
Benoit Hogue,CDA,F,33,7,5,6,4,3,4,1,1,10,3,4,4,3,3
Jere Lehtinen,CDA,F,26,7,4,4,4,3,3,2,0,10,3,5,1,3,2
Joe Thornton,CDA,F,19,10,4,4,3,3,5,3,1,12,3,4,2,3,5
Nicklas Lidstrom,CDA,D,5,5,6,5,4,6,4,1,1,10,2,5,3,4,1
Darryl Sydor,CDA,D,55,9,3,3,3,4,4,4,1,9,3,4,4,5,3
Dave Manson,CDA,D,22,9,4,5,3,3,5,4,1,5,3,3,5,2,4
Lance Pitlick,CDA,D,2,8,4,3,3,3,3,3,0,7,2,3,2,4,1
Robert Kron,COL,F,18,5,4,5,3,3,3,3,1,7,2,4,3,2,1
Pierre Turgeon,COL,F,77,9,5,4,4,3,4,1,1,12,2,3,3,4,1
Jeremy Roenick,COL,F,97,4,5,6,5,4,4,5,0,10,5,5,2,5,3
Wayne Gretzky,COL,F,99,6,5,5,6,3,3,1,1,15,5,4,6,4,0
Rob Niedermayer,COL,F,44,9,4,6,4,3,4,1,1,9,3,3,4,2,3
Mark Parrish,COL,F,21,7,6,4,4,3,3,2,0,5,4,4,2,4,3
Gord Murphy,COL,D,5,8,5,4,3,4,4,3,0,7,2,3,4,3,3
Adrian Aucoin,COL,D,6,9,4,5,3,5,4,3,0,7,2,4,3,3,3
