Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Dominik Hasek,AUT,G,39,4,6,4,3,6,6,0,0,0,0,6,6,6,6
Tim Cheveldae,AUT,G,29,6,3,4,4,4,3,0,0,0,0,2,2,2,2
Jeff Hackett,BRT,G,31,5,5,4,3,4,3,0,1,0,0,4,4,5,5
Olaf Kolzig,BRT,G,37,8,4,3,4,2,3,0,1,0,0,4,3,4,3
Tom Barrasso,CDA,G,35,10,3,3,4,4,4,0,0,0,0,4,4,3,3
Jimmy Waite,CDA,G,29,6,2,3,2,2,2,0,1,0,0,2,2,3,2
John Vanbiesbrouck,CHA,G,34,3,4,3,4,5,4,0,1,0,0,5,5,5,5
Andrei Trefilov,CHA,G,30,5,3,3,2,3,3,0,0,0,0,3,3,3,3
Mike Richter,CHC,G,35,7,6,4,3,4,4,0,1,0,0,5,6,5,6
Mark Fitzpatrick,CHC,G,30,7,3,3,2,3,4,0,1,0,0,4,4,4,4
Felix Potvin,GRH,G,29,6,5,5,3,4,4,0,1,0,0,5,5,5,5
Craig Billington,GRH,G,1,4,5,3,3,3,3,0,1,0,0,4,4,4,4
Ken Wregget,HAM,G,31,8,4,4,2,4,4,0,0,0,0,4,4,4,4
Pat Jablonski,HAM,G,39,5,3,3,2,3,3,0,0,0,0,3,2,3,3
Ron Hextall,HEL,G,27,7,3,4,4,5,4,0,1,0,0,4,4,4,4
Fred Brathwaite,HEL,G,31,5,2,3,2,2,3,0,1,0,0,3,2,3,3
Patrick Roy,HIG,G,33,6,6,4,4,6,5,0,0,0,0,6,6,5,5
Wade Flaherty,HIG,G,31,4,3,4,3,3,3,0,1,0,0,2,3,3,3
Ron Tugnutt,KVK,G,31,4,3,3,2,3,3,0,1,0,0,4,3,3,4
Mikhail Shtalenkov,KVK,G,35,6,3,3,2,3,3,0,1,0,0,4,4,3,3
Glenn Healy,MIA,G,30,5,3,2,2,4,3,0,1,0,0,3,3,4,4
Robbie Tallas,MIA,G,35,4,3,3,2,3,3,0,1,0,0,3,2,3,3
Daren Puppa,MIL,G,93,9,4,3,3,4,3,0,0,0,0,4,4,4,4
Jeff Reese,MIL,G,35,4,3,4,3,3,3,0,1,0,0,3,3,3,3
Guy Hebert,MHT,G,31,6,4,4,3,5,3,0,1,0,0,3,4,4,4
Steve Shields,MHT,G,32,9,4,4,4,4,3,0,1,0,0,3,3,3,3
Mike Vernon,MGG,G,29,4,4,4,3,5,4,0,1,0,0,5,5,4,4
Darcy Wakaluk,MGG,G,43,6,3,3,2,3,3,0,1,0,0,3,3,3,3
Martin Brodeur,NBK,G,30,7,5,4,6,6,6,0,1,0,0,6,6,6,6
Jason Muzzatti,NBK,G,29,7,3,3,3,3,3,0,1,0,0,3,3,3,3
Jim Carey,PIT,G,30,4,5,4,4,4,4,0,1,0,0,4,4,5,5
Dominic Roussel,PIT,G,37,6,3,3,3,2,3,0,1,0,0,3,2,3,3
Arturs Irbe,PRO,G,32,5,3,3,3,3,3,0,1,0,0,3,3,4,4
Damian Rhodes,PRO,G,1,5,3,3,2,4,4,0,1,0,0,4,4,4,4
Ed Belfour,REN,G,30,6,6,4,2,4,4,0,1,0,0,4,4,5,5
Byron Dafoe,REN,G,34,5,3,2,3,3,3,0,1,0,0,4,4,3,3
Trevor Kidd,RIC,G,37,3,4,4,3,4,3,0,1,0,0,4,4,4,4
Jon Casey,RIC,G,30,3,2,2,2,3,3,0,1,0,0,3,3,3,3
Chris Osgood,SAG,G,30,3,4,4,3,4,4,0,1,0,0,5,5,4,4
Eric Fichaud,SAG,G,1,3,4,3,2,3,2,0,1,0,0,3,3,3,3
Kirk McLean,SAS,G,1,6,4,4,2,4,4,0,1,0,0,5,4,4,4
Dwayne Roloson,SAS,G,30,4,3,3,3,3,3,0,1,0,0,3,3,3,3
Tommy Salo,SOV,G,35,5,4,3,2,4,2,0,1,0,0,4,4,4,3
Jamie McLennan,SOV,G,29,7,3,3,3,3,3,0,1,0,0,2,3,2,3
Bill Ranford,SV,G,30,4,5,4,3,4,4,0,1,0,0,4,4,4,4
Stephane Fiset,SV,G,35,5,4,3,3,3,4,0,1,0,0,4,4,3,3
Andy Moog,SUM,G,35,4,3,3,3,5,4,0,1,0,0,4,4,4,4
Chris Terreri,SUM,G,40,2,4,4,3,3,3,0,1,0,0,4,4,4,4
Nikolai Khabibulin,SUN,G,35,5,5,3,2,4,3,0,1,0,0,5,5,5,5
Marcel Cousineau,SUN,G,31,6,4,4,2,3,3,0,1,0,0,4,4,4,4
Patrick Lalime,SHC,G,40,3,4,4,1,4,4,0,0,0,0,4,4,4,4
Bob Essensa,SHC,G,30,4,3,3,3,4,4,0,1,0,0,3,4,3,4
Curtis Joseph,SYD,G,31,6,5,4,4,5,5,0,1,0,0,5,5,5,6
Kelly Hrudey,SYD,G,32,6,4,3,1,3,3,0,1,0,0,3,3,3,4
Grant Fuhr,TAI,G,30,7,5,3,4,4,4,0,0,0,0,5,4,4,4
Rick Tabaracci,TAI,G,31,6,3,3,2,4,3,0,1,0,0,4,4,3,3
Sean Burke,TB,G,1,10,4,3,4,4,3,0,1,0,0,4,4,4,4
Corey Schwab,TB,G,32,5,3,2,2,3,3,0,0,0,0,3,3,3,3
Jocelyn Thibault,THT,G,41,5,5,4,3,4,4,0,1,0,0,4,4,5,5
Jamie Storr,THT,G,1,4,4,4,2,3,3,0,1,0,0,3,3,3,3
Jose Theodore,TKO,G,60,4,4,4,2,4,3,0,0,0,0,4,4,4,4
Garth Snow,TKO,G,30,9,3,3,1,4,3,0,0,0,0,4,4,4,4
Corey Hirsch,VAN,G,31,3,4,3,3,3,3,0,0,0,0,4,4,4,4
Mike Dunham,VAN,G,1,6,2,3,2,3,4,0,1,0,0,4,4,4,4
