Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Dominik Hasek,AUT,G,39,4,6,6,4,6,4,0,0,0,0,5,5,5,5
Mike Dunham,AUT,G,1,7,3,4,2,3,4,0,1,0,0,2,4,3,5
Jeff Hackett,BRT,G,31,5,4,5,4,5,3,0,0,0,0,3,4,4,4
Olaf Kolzig,BRT,G,37,11,4,4,4,3,3,0,0,0,0,5,4,5,4
Tom Barrasso,CDA,G,35,10,5,4,5,5,4,0,1,0,0,4,4,5,4
Marc Denis,CDA,G,30,6,3,4,3,3,3,0,1,0,0,3,2,3,3
Mike Richter,COL,G,35,7,6,6,5,6,4,0,0,0,0,4,5,3,5
Mark Fitzpatrick,COL,G,30,7,3,3,3,4,3,0,0,0,0,5,4,4,4
Felix Potvin,GRH,G,28,6,5,5,3,4,5,0,0,0,0,3,5,3,4
Craig Billington,GRH,G,1,4,5,4,3,3,3,0,0,0,0,3,4,3,4
Chris Osgood,HAM,G,30,4,5,5,5,5,5,0,0,0,0,5,5,5,5
Kevin Weekes,HAM,G,35,9,3,4,3,3,3,0,1,0,0,3,4,3,4
Ron Hextall,HEL,G,27,6,4,4,4,5,4,0,0,0,0,3,3,3,4
Fred Brathwaite,HEL,G,40,5,3,3,3,3,3,0,0,0,0,3,3,3,3
Grant Fuhr,HIG,G,31,6,5,3,4,5,4,0,1,0,0,3,3,5,3
Wade Flaherty,HIG,G,30,6,3,4,3,4,3,0,0,0,0,2,3,4,3
Jean-Sebastien Aubin,HOT,G,30,5,4,5,4,4,3,0,0,0,0,3,3,3,3
Jamie Storr,HOT,G,1,7,5,4,4,3,3,0,1,0,0,3,2,4,2
Bob Essensa,KVK,G,30,3,4,4,4,4,4,0,1,0,0,4,3,5,4
Ron Tugnutt,KVK,G,31,2,3,3,3,3,4,0,0,0,0,3,4,4,4
Steve Shields,MHT,G,32,9,5,5,3,4,4,0,0,0,0,4,2,4,3
